category,type of issue,funds lost,rugged_date,symbol,name,id,price_float,market_cap_float,volume,wasrekt,contract_chain,contract_address
Token,Honeypot,,2021-04-01,raze,raze network,raze-network,0.080623,,,1,"ethereum, binance-smart-chain","0x5eaa69b29f99c84fe5de8200340b4e9b4ab38eac, 0x65e66a61d0a8f1e686c2d6083ad611a10d84d97a"
Token,Rugpull,,2021-08-30,reaper,carolinareaper ...,reaper-token,0.051771,,1094906.0,1,fantom,0x117db78176c8ede4f12fcd29d85cd96b91a4cbbb
Token,Rugpull,,2021-08-30,reaper,carolinareaper ...,reaper-token,0.0193721,,,1,fantom,0x117db78176c8ede4f12fcd29d85cd96b91a4cbbb
Token,Honeypot,,2021-03-28,reap,reapit,releap,0.002860525,,80708.0,1,sui,0xde2d3e02ba60b806f81ee9220be2a34932a513fe8d7f553167649e95de21c066
Token,Honeypot,,2021-03-28,reap,reapit,releap,0.00254163,,,1,sui,0xde2d3e02ba60b806f81ee9220be2a34932a513fe8d7f553167649e95de21c066
Token,Rugpull,"$14,964",2023-09-30,rai,raichu thunders...,reploy,2.67,,7128877.0,1,ethereum,0xc575bd129848ce06a460a19466c30e1d0328f52c
Token,Rugpull,"$14,964",2023-09-30,rai,raichu thunders...,reploy,2.34,,,1,ethereum,0xc575bd129848ce06a460a19466c30e1d0328f52c
Token,Rugpull,"$4,144",2021-01-05,pump,pump,respect-the-pump,6.555e-06,,1899.84,1,solana,GJMrR56gETPmaUy5of81Psic7grj6TzXmfyZyffqpump
Token,Rugpull,"$4,144",2021-01-05,pump,pump,respect-the-pump,7.27e-06,,,1,solana,GJMrR56gETPmaUy5of81Psic7grj6TzXmfyZyffqpump
Token,Rugpull,,2021-08-25,rick,rick.finance,rick-the-npc,0.000444305,,70222.0,1,solana,9ncLaQhTpKCyq542mH5fWeW6cL5BNmiCsToCcJyVpump
Token,Rugpull,,2021-08-25,rick,rick.finance,rick-the-npc,0.000126475,,,1,solana,9ncLaQhTpKCyq542mH5fWeW6cL5BNmiCsToCcJyVpump
Token,Honeypot,,2021-05-08,kitty,kitty token,roaring-kitty-solana,0.002877225,,944954.0,1,solana,EKEWAk7hfnwfR8DBb1cTayPPambqyC7pwNiYkaYQKQHp
Token,Honeypot,,2021-05-08,kitty,kitty token,roaring-kitty-solana,0.00229867,,,1,solana,EKEWAk7hfnwfR8DBb1cTayPPambqyC7pwNiYkaYQKQHp
Token,Honeypot,,2021-04-13,rvf,rocket vault,rocketx,0.023161685,,40194.0,1,ethereum,0x2fb652314c3d850e9049057bbe9813f1eee882d3
Token,Honeypot,,2021-04-13,rvf,rocket vault,rocketx,0.04263113,,,1,ethereum,0x2fb652314c3d850e9049057bbe9813f1eee882d3
Token,Honeypot,,2021-06-11,rok,rasim ozan,rok,8.1995e-05,,8162.23,1,solana,JAVqtw83AskRh5EC5HDCew8hFbakLrbYSmqgdqvUpump
Token,Honeypot,,2021-06-11,rok,rasim ozan,rok,6.9685e-05,,,1,solana,JAVqtw83AskRh5EC5HDCew8hFbakLrbYSmqgdqvUpump
Token,Honeypot,,2021-05-21,rush,rushmoon,rush-2,4.5435e-05,,839.41,1,solana,RUSHazfGVYTM4fvKmeQeTYSg1sk49yaJn3kL3gTcbpF
Token,Honeypot,,2021-05-21,rush,rushmoon,rush-2,4.784e-05,,,1,solana,RUSHazfGVYTM4fvKmeQeTYSg1sk49yaJn3kL3gTcbpF
Token,Honeypot,,,safemars,safemars,safemars,7.1e-09,2718182.0,1299.16,1,binance-smart-chain,0x3ad9594151886ce8538c1ff615efa2385a8c3a88
Token,Rugpull,"$1,600,000",2024-04-05,saga,saga fake token...,saga-2,1.225,,122597539.0,1,saga,usaga
Token,Rugpull,"$1,600,000",2024-04-05,saga,saga fake token...,saga-2,1.35,,,1,saga,usaga
Token,Honeypot,,,saito,saito,saito,0.00219943,6601447.0,7130.37,1,ethereum,0xFa14Fa6958401314851A17d6C5360cA29f74B57B
Token,Honeypot,,2021-06-03,art,artillery,salvor,0.026102545,,67701.0,1,avalanche,0xf99516bc189af00ff8effd5a1f2295b67d70a90e
Token,Honeypot,,2021-06-03,art,artillery,salvor,0.008188235,,,1,avalanche,0xf99516bc189af00ff8effd5a1f2295b67d70a90e
Token,Honeypot,,2021-04-22,yuki,yuki inu token,samurai-cat,2.525e-05,,1437.8,1,solana,53yANribNp1WzRsciY6upAN2VPY85waZEtADTeJhtQGN
Token,Honeypot,,2021-04-22,yuki,yuki inu token,samurai-cat,2.56e-05,,,1,solana,53yANribNp1WzRsciY6upAN2VPY85waZEtADTeJhtQGN
Token,Honeypot,,2021-06-06,misa,misa inu,sangkara,7.204e-05,,401375.0,1,binance-smart-chain,0x934b0633f4874ca9340341ad66ff2f6ce3124b4c
Token,Honeypot,,2021-06-06,misa,misa inu,sangkara,8.671e-05,,,1,binance-smart-chain,0x934b0633f4874ca9340341ad66ff2f6ce3124b4c
Token,Rugpull,"$210,893",2022-10-24,santa,santa coin,santawifhat,3.954e-05,,2311.24,1,solana,J8uZpXLyrmaPawRFdu81byzRSLqnurTvhQ9nd2ZLVQvE
Token,Rugpull,"$210,893",2022-10-24,santa,santa coin,santawifhat,3.2925e-05,,,1,solana,J8uZpXLyrmaPawRFdu81byzRSLqnurTvhQ9nd2ZLVQvE
Token,Rugpull,"$225,765",2023-08-02,satori,satori rugpull,satori-network,12.78,,30610.0,1,base,0xc1c37473079884cbfcf4905a97de361fed414b2b
Token,Rugpull,"$225,765",2023-08-02,satori,satori rugpull,satori-network,14.195,,,1,base,0xc1c37473079884cbfcf4905a97de361fed414b2b
Token,Honeypot,,2021-06-24,babydoge,baby doge coin,save-baby-doge,2e-10,,237.57,1,binance-smart-chain,0x43f102bbd52259f2cfd0ef82e8807e3610ae3e40
Token,Honeypot,,2021-06-24,babydoge,baby doge coin,save-baby-doge,2e-10,,,1,binance-smart-chain,0x43f102bbd52259f2cfd0ef82e8807e3610ae3e40
Token,Honeypot,,2021-06-25,sca,scaleswap,scallop-2,0.603316,,9801572.0,1,sui,0x7016aae72cfc67f2fadf55769c0a7dd54291a583b63051a5ed71081cce836ac6::sca::SCA
Token,Honeypot,,2021-06-25,sca,scaleswap,scallop-2,0.55307,,,1,sui,0x7016aae72cfc67f2fadf55769c0a7dd54291a583b63051a5ed71081cce836ac6::sca::SCA
Token,Rugpull,"$133,857",2023-04-02,scpt,script token,script-network,0.036729575,,5095193.0,1,binance-smart-chain,0x0669538fcdef9a73cd37938eba8c79e652bb93aa
Token,Rugpull,"$133,857",2023-04-02,scpt,script token,script-network,0.047807115,,,1,binance-smart-chain,0x0669538fcdef9a73cd37938eba8c79e652bb93aa
Token,Honeypot,,2021-02-27,sexy,sexyswap,settled-ethxy-token,1.1332495,,2981406.0,1,"ethereum, base","0xc52fafdc900cb92ae01e6e4f8979af7f436e2eb2, 0xd1917629b3e6a72e6772aab5dbe58eb7fa3c2f33"
Token,Honeypot,,2021-02-27,sexy,sexyswap,settled-ethxy-token,0.9587955,,,1,"ethereum, base","0xc52fafdc900cb92ae01e6e4f8979af7f436e2eb2, 0xd1917629b3e6a72e6772aab5dbe58eb7fa3c2f33"
Token,Honeypot,,2021-04-06,sfort,safe fortune,sfortuna-token,0.02192815,,11190.82,1,songbird,0x9e2e6c16803878c18e54ed74f05aeafcce464626
Token,Honeypot,,2021-04-06,sfort,safe fortune,sfortuna-token,0.023157575,,,1,songbird,0x9e2e6c16803878c18e54ed74f05aeafcce464626
Token,Honeypot,,,burn,burn,shiba-doge-burn,3.43e-06,645270.0,4.91,1,ethereum,0xa2fe5e51729be71261bcf42854012827bc44c044
Token,Honeypot,,2021-05-17,shibtc,shibabtc,shibabitcoin-2,1.006398,,44353216.0,1,binance-smart-chain,0x87266413e5b64db72f11bb6795ee976545dbaf43
Token,Honeypot,,2021-05-17,shibtc,shibabtc,shibabitcoin-2,1.11,,,1,binance-smart-chain,0x87266413e5b64db72f11bb6795ee976545dbaf43
Token,Honeypot,,2021-05-05,lum,luminescence,shimmersea-lum,0.7164355,,70019.0,1,"shimmer_evm, iota-evm","0x4794aeafa5efe2fc1f6f5eb745798aaf39a81d3e, 0x34a85ddc4e30818e44e6f4a8ee39d8cba9a60fb3"
Token,Honeypot,,2021-05-05,lum,luminescence,shimmersea-lum,0.587102,,,1,"shimmer_evm, iota-evm","0x4794aeafa5efe2fc1f6f5eb745798aaf39a81d3e, 0x34a85ddc4e30818e44e6f4a8ee39d8cba9a60fb3"
Token,Honeypot,,2021-05-27,shit,shiba inu shih ...,shitcoin-on-ton,0.004695195,,77213.0,1,the-open-network,EQB4gPfG0YtoiJHCMTUuzxP9fKXy9nx6TFh-dcAltrnNpLNo
Token,Honeypot,,2021-05-27,shit,shiba inu shih ...,shitcoin-on-ton,0.00482931,,,1,the-open-network,EQB4gPfG0YtoiJHCMTUuzxP9fKXy9nx6TFh-dcAltrnNpLNo
Token,Honeypot,,2021-03-18,shft,shyft network,shyft-network-2,0.00037717,870918.0,157.69,1,ethereum,0xb17c88bda07d28b3838e0c1de6a30eafbcf52d85
Token,Rugpull,,2021-09-03,sigma,sigma,sigma-2,0.00012833,,3235.6,1,ethereum,0x18a8d75f70eaead79b5a55903d036ce337f623a5
Token,Rugpull,,2021-09-03,sigma,sigma,sigma-2,0.000157035,,,1,ethereum,0x18a8d75f70eaead79b5a55903d036ce337f623a5
Token,Honeypot,,2021-04-20,sin,singularity,sin-city,0.072155,,1287110.0,1,binance-smart-chain,0x6397de0f9aedc0f7a8fa8b438dde883b9c201010
Token,Honeypot,,2021-04-20,sin,singularity,sin-city,0.069118,,,1,binance-smart-chain,0x6397de0f9aedc0f7a8fa8b438dde883b9c201010
Token,Honeypot,,2021-09-21,sixp,sixpackfinance....,sixpack-token-sixp,0.199116,,,1,binance-smart-chain,0xf117dfcb241c0003d5e2fc72f288755c17a46980
